id,image_path,label,is_digital,type,full_path
0000e24edb864abe8b0defa703742dcb,train/0000e24edb864abe8b0defa703742dcb.jpeg,1,True,EGYPT/DL,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0000e24edb864abe8b0defa703742dcb.jpeg
000447addd8a4e4aabb62238ba3d559f,train/000447addd8a4e4aabb62238ba3d559f.jpeg,0,True,MAURITIUS/ID,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000447addd8a4e4aabb62238ba3d559f.jpeg
0004b435792e4a5387a228133ad27a5f,train/0004b435792e4a5387a228133ad27a5f.jpeg,1,True,GUINEA/DL,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0004b435792e4a5387a228133ad27a5f.jpeg
000514f0340642f3b2eb83bff862458a,train/000514f0340642f3b2eb83bff862458a.jpeg,0,True,EGYPT/DL,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000514f0340642f3b2eb83bff862458a.jpeg
0006fe32740941c58a2a96cf28768e7f,train/0006fe32740941c58a2a96cf28768e7f.jpeg,0,True,EGYPT/DL,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0006fe32740941c58a2a96cf28768e7f.jpeg
0007db19385841f8b45d50329be83a1a,train/0007db19385841f8b45d50329be83a1a.jpeg,1,True,EGYPT/DL,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0007db19385841f8b45d50329be83a1a.jpeg
00083e9c305b467b9a414eb96c05e877,train/00083e9c305b467b9a414eb96c05e877.jpeg,0,True,BENIN/DL,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\00083e9c305b467b9a414eb96c05e877.jpeg
0008b444e8514df2aa71a47a9df69ce7,train/0008b444e8514df2aa71a47a9df69ce7.jpeg,1,True,MOZAMBIQUE/DL,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0008b444e8514df2aa71a47a9df69ce7.jpeg
0008d2cb7c64466d975406593da2c719,train/0008d2cb7c64466d975406593da2c719.jpeg,0,True,BENIN/DL,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0008d2cb7c64466d975406593da2c719.jpeg
0009a1b4b8f04e2bb920e791d087165a,train/0009a1b4b8f04e2bb920e791d087165a.jpeg,1,True,MAURITIUS/ID,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0009a1b4b8f04e2bb920e791d087165a.jpeg
