train_loss,val_loss,train_accuracy,val_accuracy,train_auc,val_auc
0.8436274174122963,0.6551621841719537,0.5384019318099906,0.6137100843364809,0.8002897763423895,0.8882093725074561
0.7855174567590154,0.6314886721706207,0.5627658040798673,0.6035464571469762,0.8292268693266857,0.8896893754279964
0.7658487980356818,0.6239023089005444,0.5714877820226338,0.6069343328768111,0.8383782794346072,0.8898522934649081
0.7552488875272261,0.6130424313845911,0.5729114106537879,0.6137821667988178,0.8429090960832192,0.8934711025103235
0.7445865202943197,0.5925797100955715,0.5804800691991638,0.62026958840914,0.8470691017752926,0.9017761546404767
0.7391983246762047,0.5834730103835121,0.5807503784329273,0.6310819577596771,0.8487327047927725,0.9028076885988878
0.7328874207979391,0.5839123267351547,0.5830930584588769,0.6364160599726086,0.8509895970921042,0.9060969789650857
0.7279273327531304,0.5936486376149039,0.5859583363367693,0.6316586174583724,0.852827374173569,0.9050249044172318
0.5825184358320926,0.48026582065836326,0.6309918546817559,0.6523462841490665,0.899846219294681,0.9202368426150245
0.5250148571604575,0.4631385916439658,0.645678656382902,0.6534275210841203,0.9138735013871502,0.9290150456781432
0.45541671493205327,0.32699167133666507,0.6818640524760325,0.7647949253946514,0.9381421050900631,0.9642338871645451
0.3196987996469033,0.17768692911802494,0.7961507965112088,0.8763785770921935,0.9737600602446569,0.9923109115172101
0.23946068135274612,0.157356976007598,0.8555647660924097,0.8799106177467022,0.9857120019515678,0.996101121363986
0.2067607277166662,0.10117797538000747,0.8730988250558639,0.9315216607799323,0.9896061669058942,0.998270665536199
0.16744598817800027,0.06721302944305647,0.9103834786996324,0.9919267642182656,0.9932198278871572,0.9990931637433237
0.13306647365606472,0.03510780147564516,0.9450551430836878,0.9948821451740791,0.9956314301908932,0.99972429419036
0.1127125777635196,0.028633726006759272,0.9607330786419664,0.9959633821091328,0.9967003762537089,0.9998348574991363
0.09716665376138568,0.024693708028197748,0.9667880054782672,0.9965400418078282,0.9975890136811985,0.9998985048409231
0.08721776983719015,0.02296293427823174,0.9703921285951128,0.9969004541195127,0.9979981194764911,0.9998769200902303
0.08398723726193846,0.023400630893494277,0.9737619837093635,0.9973329488935342,0.9981223827957616,0.9999186846670148
0.07727123287642113,0.018413096278098652,0.9761046637353132,0.9979816910545665,0.9982513358491417,0.9999094887968971
0.06560885668890287,0.015106285274964543,0.9803214877820227,0.9979816910545665,0.9987410219198039,0.999920089591616
0.05831267767732533,0.01657636528689433,0.9822496936495351,0.9981979384415771,0.9990380503871952,0.9999717737875553
