id,full_path,label
0000e24edb864abe8b0defa703742dcb,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0000e24edb864abe8b0defa703742dcb.jpeg,1
000447addd8a4e4aabb62238ba3d559f,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000447addd8a4e4aabb62238ba3d559f.jpeg,0
0004b435792e4a5387a228133ad27a5f,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0004b435792e4a5387a228133ad27a5f.jpeg,1
000514f0340642f3b2eb83bff862458a,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000514f0340642f3b2eb83bff862458a.jpeg,0
0006fe32740941c58a2a96cf28768e7f,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0006fe32740941c58a2a96cf28768e7f.jpeg,0
0007db19385841f8b45d50329be83a1a,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0007db19385841f8b45d50329be83a1a.jpeg,1
00083e9c305b467b9a414eb96c05e877,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\00083e9c305b467b9a414eb96c05e877.jpeg,0
0008b444e8514df2aa71a47a9df69ce7,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0008b444e8514df2aa71a47a9df69ce7.jpeg,1
0008d2cb7c64466d975406593da2c719,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0008d2cb7c64466d975406593da2c719.jpeg,0
0009a1b4b8f04e2bb920e791d087165a,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0009a1b4b8f04e2bb920e791d087165a.jpeg,1
000a27cd549647359deaa78721858877,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000a27cd549647359deaa78721858877.jpeg,0
000a3010ddea4e1d8eab2437d8915bd5,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000a3010ddea4e1d8eab2437d8915bd5.jpeg,1
000b0df15e504699a6c2e41d62a5b5cf,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000b0df15e504699a6c2e41d62a5b5cf.jpeg,1
000b352feaa04340842f3e1e725ac8c8,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000b352feaa04340842f3e1e725ac8c8.jpeg,0
000c096307014a55b963905b4ade4cd8,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000c096307014a55b963905b4ade4cd8.jpeg,1
000d8e7c324247a3bccc80ad2814a2ce,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000d8e7c324247a3bccc80ad2814a2ce.jpeg,1
000d99c6eaae491483afbff2ecb73bb3,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000d99c6eaae491483afbff2ecb73bb3.jpeg,1
000dfd2aa5824ce5bc3faefe29a2b348,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000dfd2aa5824ce5bc3faefe29a2b348.jpeg,0
000e6852a3f6426d9754e31a5ef92552,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000e6852a3f6426d9754e31a5ef92552.jpeg,1
000ee902604c4a6087c086935a7c1c20,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\000ee902604c4a6087c086935a7c1c20.jpeg,1
0010107385a44f1098ba4bc68f1c35a4,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0010107385a44f1098ba4bc68f1c35a4.jpeg,1
00106a7ac03c4e62a692b07495943688,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\00106a7ac03c4e62a692b07495943688.jpeg,0
001312e003a84c3d95422747997ff2cd,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\001312e003a84c3d95422747997ff2cd.jpeg,1
0014a96a4983431abafbc60de5e355cf,C:\Users\NXTWAVE\Downloads\Fraud Prediction\the-freuid-challenge-2026-ijcai-ecai\train\train\0014a96a4983431abafbc60de5e355cf.jpeg,0
