tta_pass_1,tta_pass_2,tta_pass_3,tta_pass_4,tta_pass_5,id,tta_mean,tta_median,final_score
2.2254182e-05,6.6596212e-06,1.0569393e-05,1.4003191e-05,4.917925e-05,0009cd06cf8c426789aa58b2b05c60d2,2.0533127e-05,1.4003191e-05,1.8574146e-05
8.1642946e-05,0.00031392637,0.00012186452,0.00012017566,0.00014296484,000c9f83f98c4babac3f030df5300a8e,0.00015611487,0.00012186452,0.00014583976
4.1311414e-06,1.1987379e-06,7.5058742e-06,4.748228e-06,4.311705e-05,00102eb7a93f4dfca8e3795ff1b12b5f,1.2140206e-05,4.748228e-06,9.922613e-06
0.000800851,0.0013208354,0.0018196643,0.0009640446,0.0067225974,00150ae8ab994f22bb1aa188836a5856,0.0023255986,0.0013208354,0.0020241698
0.00040170274,0.00013783353,0.00026546608,0.00040099202,0.00012138889,0022725516a14f7c93f4e2ddebbb0c58,0.00026547664,0.00026546608,0.00026547347
0.999974,0.9999801,0.9999746,0.9999751,0.99977165,002361d1fae94b6284c2db2ea1e8d40e,0.99993503,0.9999746,0.9999469
0.99939775,0.99966,0.99954766,0.9995321,0.99983,0023dc7c26ee445a95dc4e1182780e13,0.99959356,0.99954766,0.9995798
0.99995005,0.9999763,0.9999689,0.99994457,0.99989784,00255be4240245f09e17c6eb0f285037,0.99994755,0.99995005,0.99994826
0.99997985,0.99977976,0.9998659,0.9999809,0.9940514,0027a160e1204a7e86150dfecce5dca7,0.9987316,0.9998659,0.9990719
1.1536889e-05,2.685886e-05,1.1536889e-05,2.4111876e-05,4.0592447e-05,002cdc6261074ba09b39af2900ea239a,2.2927392e-05,2.4111876e-05,2.3282737e-05
9.7087075e-05,0.0006641276,9.371607e-07,7.554284e-05,0.00022219443,00486dfcb3634cb6aca8a552ec7c7c6b,0.00021197782,9.7087075e-05,0.00017751059
2.6506512e-05,5.580345e-06,1.5313468e-06,9.536466e-06,9.2090295e-06,0069de61c6a747048bd01d1c24807aee,1.047274e-05,9.2090295e-06,1.0093627e-05
7.2268795e-06,2.1982173e-06,2.862921e-06,1.8131115e-05,4.208469e-06,006d76bff15e4510af1b9f784bb936e4,6.9255207e-06,4.208469e-06,6.1104056e-06
0.00031967592,0.00046602616,0.00016361814,0.000412462,0.0012611342,0070126827214a5caf73cf1dabce04ba,0.0005245833,0.000412462,0.0004909469
